,Journal title,Journal ISSN (print version),Journal EISSN (online version),APC amount,Currency
12690,Nigerian Journal of Technological Development,,2437-2110,8000.0,NGN - Naira
12691,Jurnal Litigasi,,2442-2274,2000000.0,IDR - Rupiah
12695,JPBI (Jurnal Pendidikan Biologi Indonesia),2442-3750,2527-6204,750000.0,IDR - Rupiah
12698,Al Ibtida: Jurnal Pendidikan Guru MI,2442-5133,2527-7227,1000000.0,IDR - Rupiah
12699,Gravity: Jurnal Ilmiah Penelitian dan Pembelajaran Fisika,2442-515X,2528-1976,400000.0,IDR - Rupiah
12703,Jurnal Vokasi Kesehatan,2442-5478,2442-8183,200000.0,IDR - Rupiah
12704,JEBIS (Jurnal Ekonomi dan Bisnis Islam),2442-6563,2527-3027,100000.0,IDR - Rupiah
12705,IJAIN (International Journal of Advances in Intelligent Informatics),2442-6571,2548-3161,200.0,USD - US Dollar
12706,Indonesian Journal of Human Nutrition,2442-6636,2355-3987,300000.0,IDR - Rupiah
12708,Jurnal Farmasi Galenika (Galenika Journal of Pharmacy),2442-7284,2442-8744,500000.0,IDR - Rupiah
12709,Jurnal Idea Hukum,2442-7454,2442-7241,200.0,IDR - Rupiah
12710,Jurnal Cakrawala Pendas,2442-7470,2579-4442,300000.0,IDR - Rupiah
12713,Tell-us Journal,2442-7608,2502-7468,50.0,USD - US Dollar
12714,"Kembara: Jurnal Keilmuan Bahasa, Sastra, dan Pengajarannya",2442-7632,2442-9287,500000.0,IDR - Rupiah
12715,Jurnal Kependidikan ,,2442-7667,400000.0,IDR - Rupiah
12716,Jurnal Keamanan Nasional,2442-7985,2579-7727,200000.0,IDR - Rupiah
12717,Jurnal Gramatika: Jurnal Penelitian Pendidikan Bahasa dan Sastra Indonesia,2442-8485,,400000.0,IDR - Rupiah
12726,Juara,2443-1117,2655-1896,400000.0,IDR - Rupiah
12728,Siklus: Jurnal Teknik Sipil,2443-1729,2549-3973,300000.0,IDR - Rupiah
12751,European Research on Management and Business Economics,2444-8834,2444-8842,1240.0,EUR - Euro
12771,Laplage em Revista,,2446-6220,1228.0,BRL - Brazilian Real
12786,Psicologia e Saúde em Debate,,2446-922X,100.0,BRL - Brazilian Real
12816,"Revista de Administração, Sociedade e Inovação",,2447-8156,200.0,BRL - Brazilian Real
12820,Jornal Interdisciplinar de Biociências,,2448-0002,100.0,BRL - Brazilian Real
12827,REM: International Engineering Journal,,2448-167X,75.0,USD - US Dollar
12831,Journal of Physical Education,,2448-2455,800.0,BRL - Brazilian Real
12846,Sanus,,2448-6094,2000.0,MXN - Mexican Peso
12856,European Cooperation,2449-7320,2545-3483,250.0,EUR - Euro
12867,Transactions on Environment and Electrical Engineering,,2450-5730,50.0,EUR - Euro
12868,Pielęgniarstwo XXI Wieku,,2450-646X,65.0,EUR - Euro
12874,Journal of Veterinary Research,,2450-8608,250.0,EUR - Euro
12876,Intercultural Communication,2451-0998,2543-7461,80.0,EUR - Euro
12884,Open Cultural Studies,,2451-3474,500.0,EUR - Euro
12889,IBRO Reports,2451-8301,,1500.0,USD - US Dollar
12890,Contemporary Clinical Trials Communications,,2451-8654,1950.0,USD - US Dollar
12894,Veterinary and Animal Science,,2451-943X,1800.0,USD - US Dollar
12895,Transplantation Reports,,2451-9596,1800.0,USD - US Dollar
12896,American Journal of Ophthalmology Case Reports,,2451-9936,750.0,USD - US Dollar
12897,Neurobiology of Sleep and Circadian Rhythms,,2451-9944,1500.0,USD - US Dollar
12898,Neurobiology of Pain,2452-073X,,1800.0,USD - US Dollar
12899,Advances in Radiation Oncology,,2452-1094,2000.0,USD - US Dollar
12901,Bioactive Materials,,2452-199X,1500.0,USD - US Dollar
12902,Human Microbiome Journal,,2452-2317,2500.0,USD - US Dollar
12906,JACC: Basic to Translational Science,2452-302X,,3400.0,USD - US Dollar
12922,"Lege Artis. Language yesterday, today, tomorrow",,2453-8035,100.0,EUR - Euro
12931,International Journal of One Health,2455-5673,2455-8931,200.0,USD - US Dollar
12942,Journal of Contemporary Clinical Practice,,2457-7200,100.0,EUR - Euro
12945,Junior Scientific Researcher,,2458-0341,25.0,EUR - Euro
12973,"Journal of Frailty, Sarcopenia and Falls",,2459-4148,100.0,EUR - Euro
12980,Jurnal Educatio FKIP UNMA,2459-9522,2548-6756,250000.0,IDR - Rupiah
12983,Jurnal Ilmu Kelautan Spermonde,2460-0156,2614-5049,350000.0,IDR - Rupiah
12984,Majalah Kedokteran Gigi Indonesia,2460-0164,2442-2576,250000.0,IDR - Rupiah
12986,JEPIN (Jurnal Edukasi dan Penelitian Informatika),2460-0741,2548-9364,1000000.0,IDR - Rupiah
12988,Jurnal Konseling Gusjigang,2460-1187,2503-281X,300000.0,IDR - Rupiah
12991,Journal of EST (Educational Science And Technology),2460-1497,2477-3840,500000.0,IDR - Rupiah
12992,Padjadjaran: Jurnal Ilmu Hukum,2460-1543,2442-9325,3000000.0,IDR - Rupiah
12994,Langkawi: Journal of The Association for Arabic and English,2460-2280,2549-9017,750000.0,IDR - Rupiah
12999,Anthropos: Jurnal Antropologi Sosial dan Budaya (Journal of Social and Cultural Anthropology),2460-4585,2460-4593,500000.0,IDR - Rupiah
13003,Jurnal Abdi,2460-5514,2502-6518,300000.0,IDR - Rupiah
13005,Journal of Research and Technology,2460-5972,2477-6165,125.0,USD - US Dollar
13006,Jurnal Kimia Valensi,2460-6065,2548-3013,100.0,USD - US Dollar
13011,Research and Evaluation in Education,,2460-6995,1100000.0,IDR - Rupiah
13019,Harmoni Sosial: Jurnal Pendidikan IPS,,2460-7916,200000.0,IDR - Rupiah
13022,JP3M (Jurnal Penelitian Pendidikan dan Pengajaran Matematika),2460-8599,2581-2807,250000.0,IDR - Rupiah
13026,Jurnal Keolahragaan,,2461-0259,200000.0,IDR - Rupiah
13028,JPPPF: Jurnal Penelitian & Pengembangan Pendidikan Fisika,2461-0933,2461-1433,120.0,USD - US Dollar
13029,Jurnal Diversita,2461-1263,2580-6793,500000.0,IDR - Rupiah
13030,EUREKA: Physics and Engineering,2461-4254,2461-4262,150.0,EUR - Euro
13047,Journal of Vascular Diagnostics and Interventions,,2463-5618,1780.0,USD - US Dollar
13050,Nordic Journal of Literacy Research,,2464-1596,14000.0,NOK - Norwegian Krone
13057,Agathón,2464-9309,2532-683X,200.0,EUR - Euro
13061,AboutOpen,,2465-2628,750.0,EUR - Euro
13076,Asian Journal of Medical Sciences,2467-9100,2091-0576,125.0,USD - US Dollar
13078,Clinical Neurophysiology Practice,2467-981X,,1550.0,EUR - Euro
13080,Kidney International Reports,2468-0249,,3200.0,USD - US Dollar
13082,Infectious Disease Modelling,,2468-0427,1500.0,USD - US Dollar
13083,Non-coding RNA Research,,2468-0540,1500.0,USD - US Dollar
13086,HardwareX,,2468-0672,500.0,USD - US Dollar
13088,Applied Biological Chemistry,,2468-0842,750.0,EUR - Euro
13091,Scientific African,,2468-2276,200.0,USD - US Dollar
13094,The Cell Surface,,2468-2330,2200.0,USD - US Dollar
13097,The Lancet Public Health,,2468-2667,5000.0,USD - US Dollar
13098,Journal of Vascular Surgery Cases and Innovative Techniques,,2468-4287,550.0,USD - US Dollar
13100,Translational Medicine of Aging,,2468-5011,980.0,USD - US Dollar
13102,Otolaryngology Case Reports,2468-5488,,750.0,USD - US Dollar
13114,Burns Open,,2468-9122,2000.0,USD - US Dollar
13128,Management and Economics Research Journal ,,2469-4339,75.0,USD - US Dollar
13130,Computer Assisted Surgery,,2469-9322,1295.0,USD - US Dollar
13131,International Journal of Educational Methodology,,2469-9632,200.0,USD - US Dollar
13133,Physical Review Physics Education Research,,2469-9896,2000.0,USD - US Dollar
13134,ACS Omega,,2470-1343,1250.0,USD - US Dollar
13135,Gender and the Genome,2470-2897,2470-2900,750.0,USD - US Dollar
13136,Open Mind,,2470-2986,950.0,USD - US Dollar
13139,Chronic Stress,,2470-5470,1500.0,USD - US Dollar
13145,Epilepsia Open,,2470-9239,2400.0,USD - US Dollar
13149,GeoHealth,,2471-1403,1800.0,USD - US Dollar
13150,AIMS Microbiology,,2471-1888,300.0,USD - US Dollar
13152,AIMS Agriculture and Food,,2471-2086,300.0,USD - US Dollar
13153,AIMS Geosciences,,2471-2132,300.0,USD - US Dollar
13154,PAIN Reports,,2471-2531,2500.0,USD - US Dollar
13155,Hepatology Communications,,2471-254X,2500.0,USD - US Dollar
13156,Phytobiomes Journal,,2471-2906,1350.0,USD - US Dollar
13157,Journal of Shoulder and Elbow Arthroplasty,,2471-5492,1600.0,USD - US Dollar
13160,Agricultural & Environmental Letters,,2471-9625,1100.0,USD - US Dollar
13165,Network Neuroscience,,2472-1751,1750.0,USD - US Dollar
13166,Journal of the Endocrine Society,,2472-1972,3000.0,USD - US Dollar
13172,JBJS Open Access,,2472-7245,2250.0,USD - US Dollar
13173,Foot & Ankle Orthopaedics,,2473-0114,1000.0,USD - US Dollar
13174,Health Equity ,,2473-1242,950.0,USD - US Dollar
13177,APL Bioengineering,,2473-2877,2200.0,USD - US Dollar
13178,Progress in Preventive Medicine,,2473-294X,1500.0,USD - US Dollar
13179,JBMR Plus ,,2473-4039,2500.0,USD - US Dollar
13181,Toxicology Communications,,2473-4306,600.0,USD - US Dollar
13183,AIMS Mathematics,,2473-6988,800.0,USD - US Dollar
13185,OTO Open,,2473-974X,1300.0,USD - US Dollar
13186,Canadian Journal of Pain,,2474-0527,1400.0,USD - US Dollar
13189,Journal of Education and Teaching in Emergency Medicine,,2474-1949,150.0,USD - US Dollar
13190,Clinical Practice and Cases in Emergency Medicine,,2474-252X,500.0,USD - US Dollar
13194,Collabra: Psychology,,2474-7394,975.0,USD - US Dollar
13196,Journal of the American Academy of Orthopaedic Surgeons: Global Research & Reviews,,2474-7661,1600.0,USD - US Dollar
13197,Environmental Epidemiology,,2474-7882,1200.0,USD - US Dollar
13200,BJS Open,2474-9842,,1800.0,USD - US Dollar
13201,The European Zoological Journal,,2475-0263,800.0,USD - US Dollar
13202,Annals of Gastroenterological Surgery ,,2475-0328,1850.0,USD - US Dollar
13204,Research and Practice in Thrombosis and Haemostasis,,2475-0379,2000.0,USD - US Dollar
13205,Journal of Information and Telecommunication,2475-1839,2475-1847,1500.0,USD - US Dollar
13206,Current Developments in Nutrition,,2475-2991,2550.0,GBP - Pound Sterling
13208,Journal of Pancreatic Cancer ,,2475-3246,1500.0,USD - US Dollar
13209,Plant Direct ,,2475-4455,2200.0,USD - US Dollar
13210,Journal of Academic Ophthalmology,,2475-4757,1900.0,USD - US Dollar
13211,Chronicles of Health Impact Assessment,,2475-5885,300.0,USD - US Dollar
13212,Health Literacy Research and Practice,2475-6024,2474-8307,2000.0,USD - US Dollar
13214,Japan Architectural Review ,,2475-8876,1500.0,USD - US Dollar
13217,Journal of Contemporary East Asia Studies,2476-1028,2476-1036,1400.0,USD - US Dollar
13220,Iranian Journal of Applied Ecology,2476-3128,2476-3217,1000000.0,IRR - Iranian Rial
13222,علوم آب و خاک,2476-3594,2476-5554,1500000.0,IRR - Iranian Rial
13223,رویکردهای پژوهشی در علوم اجتماعی,,2476-3675,2800000.0,IRR - Iranian Rial
13227,Journal of Structural and Construction Engineering,2476-3977,2538-2616,350000.0,IRR - Iranian Rial
13228,International Journal of Reproductive BioMedicine,2476-4108,2476-3772,210.0,USD - US Dollar
13230,پژوهشنامه روانشناسی مثبت,2476-4248,2476-3705,3500000.0,IRR - Iranian Rial
13231,Journal of Agricultural Science and Sustainable Production,2476-4310,2476-4329,1500000.0,IRR - Iranian Rial
13236,Annals of Applied Sport Science,2476-4981,2322-4479,550.0,USD - US Dollar
13253,Annals of Health Research,2476-8642,2536-6149,120.0,USD - US Dollar
13255,AMAR (Andalas Management Review),2476-9282,2548-155X,55.0,USD - US Dollar
13259,Jurnal Educatio: Jurnal Pendidikan Indonesia,2476-9886,2477-0302,850000.0,IDR - Rupiah
13264,Elementary: Jurnal Ilmiah Pendidikan Dasar,2477-1384,2579-9282,100000.0,IDR - Rupiah
13265,Biovalentia: Biological Research Journal,,2477-1392,1000000.0,IDR - Rupiah
13267,Script Journal,2477-1880,2502-6623,300000.0,IDR - Rupiah
13271,ANDHARUPA: Jurnal Desain Komunikasi Visual & Multimedia,2477-2852,2477-3913,1000000.0,IDR - Rupiah
13272,Kinestetik,2477-331X,2685-6514,75.0,USD - US Dollar
13275,Belitung Nursing Journal,,2477-4073,135.0,USD - US Dollar
13278,Jurnal Informatika: Jurnal Pengembangan IT,2477-5126,2548-9356,300000.0,IDR - Rupiah
13281,"Edulite: Journal of English Education, Literature, and Culture",2477-5304,2528-4479,20.0,USD - US Dollar
13291,Jurnal Ilmiah Ekonomi Islam,2477-6157,2579-6534,500000.0,IDR - Rupiah
13295,Jurnal Benefita,,2477-7862,500000.0,IDR - Rupiah
13298,JPPI (Jurnal Penelitian Pendidikan Indonesia),2477-8524,2502-8103,850000.0,IDR - Rupiah
13314,Sustainable Buildings,,2492-6035,1500.0,EUR - Euro
13315,Renewable Energy and Environmental Sustainability,,2493-9439,1500.0,EUR - Euro
13316,OENO One,,2494-1271,250.0,EUR - Euro
13324,Journal of Health and Social Sciences,2499-2240,2499-5886,79.0,EUR - Euro
13327,Research in Psychotherapy,2499-7552,2239-8031,400.0,EUR - Euro
13335,Журнал Фронтирных Исследований,,2500-0225,5.0,USD - US Dollar
13340,Othody i Resursy,,2500-0659,950.0,RUB - Russian Ruble
13347,"ЛОКУС: люди, общество, культуры, смыслы",2500-2988,,3500.0,RUB - Russian Ruble
13365,Jurnal KATA: Penelitian tentang Ilmu Bahasa dan Sastra,,2502-0706,500030.0,IDR - Rupiah
13369,Indonesian Language Education and Literature,,2502-2261,300000.0,IDR - Rupiah
13370,IJOTL-TL (Indonesian Journal of Language Teaching and Linguistics),2502-2326,2502-8278,400000.0,IDR - Rupiah
13375,"Jurnal Pendidikan: Teori, Penelitian, dan Pengembangan",,2502-471X,250000.0,IDR - Rupiah
13381,Rekayasa Sipil,,2502-6348,350000.0,IDR - Rupiah
13382,JIIS: Jurnal Ilmiah Ibnu Sina,2502-647X,2503-1902,500000.0,IDR - Rupiah
13386,Journal of Applied Linguistics and Literature,2502-7816,2503-524X,350000.0,IDR - Rupiah
13390,Manageria: Jurnal Manajemen Pendidikan Islam,2502-9223,2503-4383,250000.0,IDR - Rupiah
13400,Jurnal Medika Veterinaria,,2503-1600,250000.0,IDR - Rupiah
13404,Jurnal Kajian Bimbingan dan Konseling,2503-3417,2548-4311,750000.0,IDR - Rupiah
13411,Midwifery Journal,2503-4340,2614-3364,350000.0,IDR - Rupiah
13413,Chempublish Journal,,2503-4588,300000.0,IDR - Rupiah
13415,International Journal of Tropical Veterinary and Biomedical Research,2503-4715,2503-4715,50.0,USD - US Dollar
13417,Frontiers in Research Metrics and Analytics ,,2504-0537,950.0,USD - US Dollar
13419,"International Journal of Turbomachinery, Propulsion and Power",,2504-186X,550.0,CHF - Swiss Franc
13421,Big Data and Cognitive Computing,,2504-2289,1000.0,CHF - Swiss Franc
13422,Frontiers in Education,,2504-284X,950.0,USD - US Dollar
13423,Fractal and Fractional ,,2504-3110,1000.0,CHF - Swiss Franc
13424,Portuguese Journal of Public Health,2504-3137,2504-3145,250.0,EUR - Euro
13425,Lifestyle Genomics,2504-3161,2504-3188,1950.0,CHF - Swiss Franc
13428,Drones,,2504-446X,1000.0,CHF - Swiss Franc
13429,Journal of Manufacturing and Materials Processing,2504-4494,,1000.0,CHF - Swiss Franc
13430,Journal of Composites Science,,2504-477X,1000.0,CHF - Swiss Franc
13431,Machine Learning and Knowledge Extraction,,2504-4990,1000.0,CHF - Swiss Franc
13433,Case Reports in Acute Medicine,,2504-5288,875.0,EUR - Euro
13434,Colloids and Interfaces,,2504-5377,1000.0,CHF - Swiss Franc
13435,EUREKA: Social and Humanities ,2504-5563,2504-5571,100.0,EUR - Euro
13436,EUREKA: Health Sciences,2504-5660,2504-5679,100.0,EUR - Euro
13437,EUREKA: Life Sciences ,2504-5687,2504-5695,100.0,EUR - Euro
13439,Journal for the History of Environment and Society,2506-6730,2506-6749,900.0,EUR - Euro
13446,Exercise Medicine,,2508-9056,1200.0,USD - US Dollar
13452,PharmacoEconomics - Open,,2509-4254,2200.0,USD - US Dollar
13453, Ultrasound International Open,2509-596X,2199-7152,1500.0,EUR - Euro
13455,Materials Theory,,2509-8012,800.0,GBP - Pound Sterling
13456,Journal of Patient-Reported Outcomes,,2509-8020,960.0,GBP - Pound Sterling
13457,European Radiology Experimental,,2509-9280,1095.0,GBP - Pound Sterling
13458,SynOpen,,2509-9396,850.0,EUR - Euro
13460,European Journal of Hybrid Imaging,,2510-3636,1370.0,GBP - Pound Sterling
13462,EURASIP Journal on Information Security,,2510-523X,495.0,GBP - Pound Sterling
13466,TH Open,,2512-9465,1100.0,USD - US Dollar
13470,Evolutionary Human Sciences,,2513-843X,1700.0,GBP - Pound Sterling
13472,BJR|open,,2513-9878,600.0,GBP - Pound Sterling
13473,Personality Neuroscience,,2513-9886,800.0,GBP - Pound Sterling
13474,Rheumatology Advances in Practice,,2514-1775,1500.0,GBP - Pound Sterling
13475,Clinical and Translational Neuroscience,,2514-183X,1500.0,USD - US Dollar
13477,European Heart Journal: Case Reports,,2514-2119,400.0,GBP - Pound Sterling
13482,Transactions of the International Society for Music Information Retrieval,,2514-3298,300.0,GBP - Pound Sterling
13484,Journal of Cognition,,2514-4820,1150.0,EUR - Euro
13488,Journal of the Belgian Society of Radiology,,2514-8281,220.0,GBP - Pound Sterling
13489,Journal of Computer Applications in Archaeology,,2514-8362,300.0,GBP - Pound Sterling
13492,Journal of the Canadian Association of Gastroenterology,2515-2084,2515-2092,1725.0,USD - US Dollar
13493,Physical Activity and Health,,2515-2270,400.0,GBP - Pound Sterling
13496,Journal of the Global Power and Propulsion Society,,2515-3080,750.0,CHF - Swiss Franc
13498,HRB Open Research,,2515-4826,859.0,EUR - Euro
13499,JNCI Cancer Spectrum,,2515-5091,1150.0,USD - US Dollar
13501,Journal of Evidence-Based Integrative Medicine,,2515-690X,1200.0,USD - US Dollar
13503,Environmental Research Communications,,2515-7620,1100.0,GBP - Pound Sterling
13504,JPhys Materials,,2515-7639,1600.0,GBP - Pound Sterling
13505,JPhys Photonics,,2515-7647,1600.0,GBP - Pound Sterling
13506,JPhys Energy,,2515-7655,1600.0,GBP - Pound Sterling
13507,Cephalalgia Reports,,2515-8163,1500.0,USD - US Dollar
13512,AAS Open Research,,2515-9321,920.0,GBP - Pound Sterling
13515,Journal of Ocean and Climate,,2516-0192,900.0,USD - US Dollar
13522,The Journal of The British Blockchain Association ,2516-3949,2516-3957,585.0,GBP - Pound Sterling
13523,Antibody Therapeutics,,2516-4236,1300.0,GBP - Pound Sterling
13525,"BMJ Nutrition, Prevention & Health",,2516-5542,1500.0,GBP - Pound Sterling
13527,Experimental Results,,2516-712X,750.0,GBP - Pound Sterling
13529,Access Microbiology,,2516-8290,700.0,GBP - Pound Sterling
13532,Epigenetics Insights,,2516-8657,1500.0,USD - US Dollar
13533,Integrative Organismal Biology,,2517-4843,1250.0,GBP - Pound Sterling
13534,in silico Plants,,2517-5025,1470.0,GBP - Pound Sterling
13535,The European Educational Researcher,,2517-6323,100.0,USD - US Dollar
13540,International Journal of System Modeling and Simulation,,2518-0959,500.0,USD - US Dollar
13542,Fundamental and Applied Agriculture,2518-2021,2415-4474,4000.0,BDT - Taka
13543,Journal of Islamic and Religious Studies,2518-5330,2519-7118,150.0,USD - US Dollar
13546,Науковий вісник Львівського національного університету ветеринарної медицини та біотехнологій імені С.З. Ґжицького: Серія Ветеринарні науки,2518-7554,2518-1327,500.0,UAH - Hryvnia
13552,"European Journal of Economics, Law and Social Sciences ",2519-1284,2520-0429,150.0,EUR - Euro
13557,Науковий вісник Львівського національного університету ветеринарної медицини та біотехнологій імені С.З. Ґжицького. Серія: Харчові технології,2519-268X,2707-5885,1000.0,UAH - Hryvnia
13558,Науковий вісник Львівського національного університету ветеринарної медицини та біотехнологій імені С.З. Гжицького. Серія: Сільськогосподарські науки,2519-2698,2707-5834,1000.0,UAH - Hryvnia
13560,Naukovì Zapiski NaUKMA: Ekonomìčnì Nauki,2519-4739,2519-4747,400.0,UAH - Hryvnia
13561,ScienceRise: Medical Science,2519-478X,2519-4798,50.0,EUR - Euro
13563,ScienceRise: Pharmaceutical Science,2519-4844,2519-4852,50.0,EUR - Euro
13564,ScienceRise: Pedagogical Education,2519-4976,2519-4984,50.0,EUR - Euro
13565,Journal of Medicinal Plants for Economic Development,2519-559X,2616-4809,10496.0,ZAR - Rand
13567,ScienceRise: Biological Science,2519-8017,2519-8025,50.0,EUR - Euro
13570,European Journal of Management Issues,2519-8564,2523-451X,50.0,EUR - Euro
13572,General Letters in Mathematics ,2519-9269,2519-9277,100.0,USD - US Dollar
13573,Global Journal of Economics and Business,2519-9285,2519-9293,100.0,USD - US Dollar
13581,BMC Rheumatology,,2520-1026,1370.0,GBP - Pound Sterling
13582,IZA Journal of Development and Migration,,2520-1786,980.0,GBP - Pound Sterling
13587,Journal of Sustainable Development of Transport and Logistics,,2520-2979,330.0,USD - US Dollar
13588,Mirror of Research in Veterinary Sciences and Animals ,2520-324X,,125.0,USD - US Dollar
13599,"Naukovij Vìsnik Nacìonalʹnoï Akademìï Statistiki, Oblìku ta Auditu",2520-6834,2521-1323,200.0,UAH - Hryvnia
13605,Sustainable Earth,,2520-8748,690.0,GBP - Pound Sterling
13606,CVIR Endovascular,,2520-8934,1370.0,GBP - Pound Sterling
13607,Energy Informatics,,2520-8942,865.0,GBP - Pound Sterling
13626,Quantum,,2521-327X,200.0,EUR - Euro
13627,JCSM Clinical Reports,,2521-3555,1875.0,USD - US Dollar
13628,UHD Journal of Science and Technology,2521-4209,2521-4217,100000.0,IQD - Iraqi Dinar
13632,Modern Economics,,2521-6392,300.0,UAH - Hryvnia
13635,Iraqi Journal of Public Health,,2521-7267,250.0,USD - US Dollar
13636,Albanian Journal of Trauma and Emergency Surgery,2521-8778,2616-4922,100.0,EUR - Euro
13637,مجلة النهرين للعلوم الهندسية,2521-9154,2521-9162,75000.0,IQD - Iraqi Dinar
13638,Менеджмент та підприємництво: тренди розвитку,,2522-1566,400.0,UAH - Hryvnia
13639,"Міжнародні відносини, суспільні комунікації та регіональні студії",2522-1663,2524-2679,1540.0,UAH - Hryvnia
13640,Komunalʹne Gospodarstvo Mìst,2522-1809,2522-1817,350.0,UAH - Hryvnia
13641,Vìsnik Unìversitetu ìmenì Alʹfreda Nobelâ: Serìâ Pedagogìka ì Psihologiâ,2522-4115,2522-9133,200.0,UAH - Hryvnia
13642,Functional Composite Materials,,2522-5774,860.0,EUR - Euro
13643,The Southern African Journal of Entrepreneurship and Small Business Management,2522-7343,2071-3185,1161.0,ZAR - Rand
13646,Освітній дискурс,2522-9699,2616-5007,500.0,UAH - Hryvnia
13647,Eurasia: Economics & Business,,2522-9710,120.0,USD - US Dollar
13651,Cell Stress,,2523-0204,1190.0,EUR - Euro
13655,Iraq Medical Journal,2523-1634,2521-8492,125.0,USD - US Dollar
13660,Cancer Communications,,2523-3548,2500.0,USD - US Dollar
13661,ScienceRise: Juridical Science,2523-4145,2523-4153,50.0,EUR - Euro
13662,"Mìkrosistemi, Elektronìka ta Akustika",2523-4447,2523-4455,400.0,UAH - Hryvnia
13663,Vìsnik Unìversitetu ìm. A. Nobelâ: Serìâ Fìlologìčnì Nauki,2523-4463,2523-4749,200.0,UAH - Hryvnia
13666,Measurement Instruments for the Social Sciences,,2523-8930,960.0,EUR - Euro
13668,Київські історичні студії,2524-0749,2524-0757,700.0,UAH - Hryvnia
13673,BMC Chemical Engineering,,2524-4175,1745.0,EUR - Euro
13674,BMC Biomedical Engineering,,2524-4426,1745.0,EUR - Euro
13677,BMC Energy,,2524-4469,1370.0,GBP - Pound Sterling
13678,One Health Outlook,,2524-4655,1480.0,GBP - Pound Sterling
13679,Animal Microbiome,,2524-4671,1165.0,GBP - Pound Sterling
13680,Environmental Microbiome,,2524-6372,1165.0,GBP - Pound Sterling
13684,Urban Transformations,,2524-8162,625.0,GBP - Pound Sterling
13685,The Ultrasound Journal,,2524-8987,1570.0,GBP - Pound Sterling
13696,"Research, Society and Development",,2525-3409,100.0,BRL - Brazilian Real
13704,Agri-Environmental Sciences,,2525-4804,20.0,BRL - Brazilian Real
13787,Cadernos Brasileiros de Terapia Ocupacional,,2526-8910,350.0,BRL - Brazilian Real
13796,The Journal of Engineering and Exact Sciences,,2527-1075,100.0,BRL - Brazilian Real
13818,JTK (Jurnal Tadris Kimiya),2527-6816,2527-9637,750000.0,IDR - Rupiah
13832,Jurnal Ilmiah Pendidikan Pancasila dan Kewarganegaraan,2528-0767,2527-8495,1500000.0,IDR - Rupiah
13835,JOIN: Jurnal Online Informatika,2528-1682,2527-9165,1500000.0,IDR - Rupiah
13836,Indonesian Contemporary Nursing Journal,2528-2557,2686-116X,500000.0,IDR - Rupiah
13842,Jurnal Aplikasi Bisnis dan Manajemen,2528-5149,2460-7819,800000.0,IDR - Rupiah
13843,Volt: Jurnal Ilmiah Pendidikan Teknik Elektro,2528-5688,2528-5696,40.0,USD - US Dollar
13847,Jurnal AKSI (Akuntansi dan Sistem Informasi),2528-6145,2541-3198,350000.0,IDR - Rupiah
13851,JABE (Journal of Accounting and Business Education),2528-7281,2528-729X,50.0,USD - US Dollar
13865,Molecular Frontiers Journal,2529-7325,2529-7333,1500.0,USD - US Dollar
13884,IBJ Clinical Pharmacology,,2530-4984,200.0,EUR - Euro
13910,Italian Botanist,,2531-4033,250.0,EUR - Euro
13946,Journal of Philosophical Criticism,,2533-0675,950.0,EUR - Euro
13951,Rethinking Ecology,,2534-9260,550.0,EUR - Euro
13953,International Journal of Medical Reviews and Case Reports,,2534-9821,70.0,USD - US Dollar
13954,Evolutionary Systematics,,2535-0730,150.0,EUR - Euro
13955,Science & Research,,2535-0765,30.0,EUR - Euro
13956,Alpine Entomology ,,2535-0889,1000.0,CHF - Swiss Franc
13959,Journal for Research in Arts and Sports Education,,2535-2857,12000.0,NOK - Norwegian Krone
13966,Barn,,2535-5449,2000.0,NOK - Norwegian Krone
13969,Nordisk Tidsskrift for Utdanning og Praksis,,2535-7697,6000.0,NOK - Norwegian Krone
13981,Alexandria Journal of Veterinary Sciences,,2536-9520,100.0,USD - US Dollar
13982,Journal of General Union of Arab Archaeologists,2536-9822,2536-9830,200.0,USD - US Dollar
13989,"Law, Society & Organisations",,2537-477X,100.0,EUR - Euro
13994,Ikufīziyuluzhī-i Giyāhān-i Zirā̒ī,2538-1822,2476-731X,3500000.0,IRR - Iranian Rial
14003,پژوهش در ورزش‌ تربیتی,2538-2721,2538-3388,2000000.0,IRR - Iranian Rial
14004,رفتار حرکتی,2538-273X,2538-5593,2000000.0,IRR - Iranian Rial
14006,مطالعات اجتماعی روان‌شناختی زنان,2538-2926,2538-2934,2000000.0,IRR - Iranian Rial
14007,مطالعات روانشناختی,2538-2942,2538-2950,1500000.0,IRR - Iranian Rial
14008,Pizhūhish/hā-yi Irtibāṭī,2538-2977,2538-2985,3000000.0,IRR - Iranian Rial
14009,مطالعات مدیریت ورزشی,2538-3213,2538-3221,2000000.0,IRR - Iranian Rial
14016,Environmental Energy and Economic Research,2538-4988,2676-4997,5000000.0,IRR - Iranian Rial
14023,مهندسی اکوسیستم بیابان,2538-6336,2588-6207,2500000.0,IRR - Iranian Rial
14035,IJFAC (Indonesian Journal of Fundamental and Applied Chemistry),2540-9395,2540-9409,50.0,USD - US Dollar
14037,Journal of Tropical Biodiversity and Biotechnology,2540-9573,2540-9581,65.0,USD - US Dollar
14039,Jurnal Pendidikan Keperawatan Indonesia,2541-0024,2477-3743,400000.0,IDR - Rupiah
14041,Sinkron,2541-044X,2541-2019,500000.0,IDR - Rupiah
